gene_id	gene_name	gene_type	alias	chromosome_name	start_position	end_position	strand	MSTIC1	MSTIC2	MSTIC3	MSTIC4	MSUT1	MSUT2	MSUT3	MSUT4
MIMAT0000100_1	hsa-miR-29b-3p	miRNA	MIMAT0000100	chr7	130877467	130877489	-	64	54	80	21	39	29	20	31
MIMAT0000101	hsa-miR-103a-3p	miRNA	MIMAT0000101	chr20	3917541	3917563	+	2971	3068	1228	1007	1260	932	0	1883
MIMAT0000101_1	hsa-miR-103a-3p	miRNA	MIMAT0000101	chr5	168560904	168560926	-	435	0	0	0	0	0	1626	0
MIMAT0000103	hsa-miR-106a-5p	miRNA	MIMAT0000103	chrX	134170244	134170266	-	198	101	47	77	30	35	72	69
MIMAT0000104	hsa-miR-107	miRNA	MIMAT0000104	chr10	89592756	89592778	-	408	330	107	138	114	144	254	278
MIMAT0000222	hsa-miR-192-5p	miRNA	MIMAT0000222	chr11	64891203	64891223	-	44	23	5	3	5	11	16	5
MIMAT0000227	hsa-miR-197-3p	miRNA	MIMAT0000227	chr1	109598940	109598961	+	749	580	117	57	245	325	37	158
MIMAT0000231	hsa-miR-199a-5p	miRNA	MIMAT0000231	chr1	172144592	172144614	-	43	19	87	21	11	0	12	8
MIMAT0000231_1	hsa-miR-199a-5p	miRNA	MIMAT0000231	chr19	10817469	10817491	-	43	25	0	0	0	0	0	16
MIMAT0000232	hsa-miR-199a-3p	miRNA	MIMAT0000232	chr1	172144554	172144575	-	0	0	677	426	183	0	326	0
MIMAT0000242	hsa-miR-129-5p	miRNA	MIMAT0000242	chr11	43581408	43581428	+	3	3	0	5	7	0	0	0
MIMAT0000243	hsa-miR-148a-3p	miRNA	MIMAT0000243	chr7	25949922	25949943	-	273	276	118	110	111	164	165	158
MIMAT0000244	hsa-miR-30c-5p	miRNA	MIMAT0000244	chr1	40757300	40757322	+	31	40	106	0	135	0	42	23
MIMAT0000244_1	hsa-miR-30c-5p	miRNA	MIMAT0000244	chr6	71377003	71377025	-	1767	1126	95	61	130	173	46	22
MIMAT0000245	hsa-miR-30d-5p	miRNA	MIMAT0000245	chr8	134804919	134804940	-	582	526	124	91	259	219	55	141
MIMAT0000250	hsa-miR-139-5p	miRNA	MIMAT0000250	chr11	72615102	72615124	-	43	57	70	53	25	87	44	81
MIMAT0000252	hsa-miR-7-5p	miRNA	MIMAT0000252	chr15	88611856	88611879	+	0	0	3	0	0	1	1	0
MIMAT0000252_1	hsa-miR-7-5p	miRNA	MIMAT0000252	chr19	4770700	4770723	+	0	0	0	1	3	2	3	0
MIMAT0000252_2	hsa-miR-7-5p	miRNA	MIMAT0000252	chr9	83969811	83969834	-	19	17	3	1	2	1	1	0
MIMAT0000253	hsa-miR-10a-5p	miRNA	MIMAT0000253	chr17	48579904	48579926	-	147	100	222	92	35	53	107	158
MIMAT0000254	hsa-miR-10b-5p	miRNA	MIMAT0000254	chr2	176150329	176150351	+	39	39	25	70	43	55	59	172
MIMAT0000255	hsa-miR-34a-5p	miRNA	MIMAT0000255	chr1	9151735	9151756	-	13	17	2	0	6	0	4	6
MIMAT0000256	hsa-miR-181a-5p	miRNA	MIMAT0000256	chr1	198859108	198859130	-	1641	1134	551	205	272	175	156	174
MIMAT0000256_1	hsa-miR-181a-5p	miRNA	MIMAT0000256	chr9	124692480	124692502	+	2884	2285	704	160	810	579	296	373
MIMAT0000257	hsa-miR-181b-5p	miRNA	MIMAT0000257	chr1	198858925	198858947	-	254	133	81	0	53	80	12	20
MIMAT0000257_1	hsa-miR-181b-5p	miRNA	MIMAT0000257	chr9	124693725	124693747	+	96	109	19	39	41	20	0	15
MIMAT0000258	hsa-miR-181c-5p	miRNA	MIMAT0000258	chr19	13874725	13874746	+	13	23	0	0	0	20	0	0
MIMAT0000259	hsa-miR-182-5p	miRNA	MIMAT0000259	chr7	129770447	129770470	-	118	125	56	18	75	73	14	18
MIMAT0000261	hsa-miR-183-5p	miRNA	MIMAT0000261	chr7	129774967	129774988	-	37	57	35	16	26	24	12	31
MIMAT0000263	hsa-miR-199b-5p	miRNA	MIMAT0000263	chr9	128244783	128244805	-	24	15	41	11	12	16	10	11
MIMAT0000264	hsa-miR-203a-3p	miRNA	MIMAT0000264	chr14	104117469	104117490	+	69	12	123	198	111	37	121	28
MIMAT0000265	hsa-miR-204-5p	miRNA	MIMAT0000265	chr9	70810031	70810052	-	17	0	19	8	0	23	0	10
MIMAT0000267	hsa-miR-210-3p	miRNA	MIMAT0000267	chr11	568112	568133	-	357	295	122	31	83	134	39	14
MIMAT0000269	hsa-miR-212-3p	miRNA	MIMAT0000269	chr17	2050290	2050310	-	2	6	0	0	0	0	0	0
MIMAT0000270	hsa-miR-181a-3p	miRNA	MIMAT0000270	chr1	198859069	198859090	-	433	323	185	73	218	88	48	64
MIMAT0000271	hsa-miR-214-3p	miRNA	MIMAT0000271	chr1	172138816	172138837	-	833	761	946	284	299	281	370	519
MIMAT0000272	hsa-miR-215-5p	miRNA	MIMAT0000272	chr1	220117916	220117936	-	2	0	0	0	2	0	0	0
MIMAT0000273	hsa-miR-216a-5p	miRNA	MIMAT0000273	chr2	55989020	55989041	-	2	4	0	0	7	8	0	0
MIMAT0000274	hsa-miR-217-5p	miRNA	MIMAT0000274	chr2	55983020	55983042	-	18	8	4	0	2	4	0	0
MIMAT0000275	hsa-miR-218-5p	miRNA	MIMAT0000275	chr4	20528299	20528319	+	29	27	2	0	0	0	2	4
MIMAT0000275_1	hsa-miR-218-5p	miRNA	MIMAT0000275	chr5	168768211	168768231	-	2	0	0	0	0	0	2	0
MIMAT0000278	hsa-miR-221-3p	miRNA	MIMAT0000278	chrX	45746180	45746202	-	2001	1240	691	598	927	966	416	762
MIMAT0000279	hsa-miR-222-3p	miRNA	MIMAT0000279	chrX	45747036	45747056	-	1637	1061	438	232	569	436	251	179
MIMAT0000280	hsa-miR-223-3p	miRNA	MIMAT0000280	chrX	66018937	66018958	+	69	131	768	1548	199	327	2799	2280
MIMAT0000281	hsa-miR-224-5p	miRNA	MIMAT0000281	chrX	151958628	151958652	-	384	434	96	38	242	129	70	63
MIMAT0000318	hsa-miR-200b-3p	miRNA	MIMAT0000318	chr1	1167160	1167181	+	0	1	0	0	8	0	0	0
MIMAT0000414	hsa-let-7g-5p	miRNA	MIMAT0000414	chr3	52268336	52268357	-	1989	2048	888	691	555	813	941	1175
MIMAT0000415	hsa-let-7i-5p	miRNA	MIMAT0000415	chr12	62603691	62603712	+	2227	2162	614	438	621	582	728	666
MIMAT0000416	hsa-miR-1-3p	miRNA	MIMAT0000416	chr18	21829015	21829036	-	0	0	0	1	1	0	0	0
MIMAT0000417	hsa-miR-15b-5p	miRNA	MIMAT0000417	chr3	160404607	160404628	+	7900	7216	2213	1338	3508	2258	1705	1587
MIMAT0000418	hsa-miR-23b-3p	miRNA	MIMAT0000418	chr9	95085265	95085287	+	36932	33111	11929	4604	17207	9241	3900	4225
MIMAT0000419	hsa-miR-27b-3p	miRNA	MIMAT0000419	chr9	95085505	95085525	+	6933	4985	3549	1220	2583	2869	649	1375
MIMAT0000420	hsa-miR-30b-5p	miRNA	MIMAT0000420	chr8	134800570	134800591	-	128	62	8	0	22	36	25	20
MIMAT0000421	hsa-miR-122-5p	miRNA	MIMAT0000421	chr18	58451088	58451109	+	33	48	87	100	79	175	154	260
MIMAT0000422	hsa-miR-124-3p	miRNA	MIMAT0000422	chr20	63178552	63178573	+	52	72	121	14	48	30	6	118
MIMAT0000422_1	hsa-miR-124-3p	miRNA	MIMAT0000422	chr8	9903399	9903420	-	60	68	124	17	57	41	10	109
MIMAT0000422_2	hsa-miR-124-3p	miRNA	MIMAT0000422	chr8	64379210	64379231	+	57	71	130	18	56	39	9	111
MIMAT0000423	hsa-miR-125b-5p	miRNA	MIMAT0000423	chr11	122099809	122099830	-	3630	2939	1648	0	1120	1303	535	200
MIMAT0000423_1	hsa-miR-125b-5p	miRNA	MIMAT0000423	chr21	16590253	16590274	+	6373	5729	1536	1104	3156	2076	515	1006
MIMAT0000424	hsa-miR-128-3p	miRNA	MIMAT0000424	chr2	135665446	135665466	+	470	413	237	63	319	474	90	13
MIMAT0000424_1	hsa-miR-128-3p	miRNA	MIMAT0000424	chr3	35744527	35744547	+	47	84	150	20	11	100	0	173
MIMAT0000425	hsa-miR-130a-3p	miRNA	MIMAT0000425	chr11	57641252	57641273	+	5509	3897	1352	589	1733	1794	660	795
MIMAT0000426	hsa-miR-132-3p	miRNA	MIMAT0000426	chr17	2049929	2049950	-	41	29	11	0	6	6	0	0
MIMAT0000428	hsa-miR-135a-5p	miRNA	MIMAT0000428	chr12	97563834	97563856	+	55	13	11	0	20	0	4	0
MIMAT0000428_1	hsa-miR-135a-5p	miRNA	MIMAT0000428	chr3	52294270	52294292	-	61	53	8	0	21	30	2	0
MIMAT0000429	hsa-miR-137-3p	miRNA	MIMAT0000429	chr1	98046091	98046113	-	20	14	14	0	13	0	9	0
MIMAT0000430	hsa-miR-138-5p	miRNA	MIMAT0000430	chr16	56858527	56858549	+	20	15	102	24	17	34	0	12
MIMAT0000430_1	hsa-miR-138-5p	miRNA	MIMAT0000430	chr3	44114234	44114256	+	66	33	74	45	25	35	39	35
MIMAT0000431	hsa-miR-140-5p	miRNA	MIMAT0000431	chr16	69933103	69933124	+	2	3	0	8	0	16	10	4
MIMAT0000432	hsa-miR-141-3p	miRNA	MIMAT0000432	chr12	6964155	6964176	+	11	7	0	0	0	10	0	5
MIMAT0000433	hsa-miR-142-5p	miRNA	MIMAT0000433	chr17	58331283	58331303	-	12	5	73	43	1	57	163	184
MIMAT0000434	hsa-miR-142-3p	miRNA	MIMAT0000434	chr17	58331245	58331267	-	1	2	14	85	1	19	91	59
MIMAT0000435	hsa-miR-143-3p	miRNA	MIMAT0000435	chr5	149428978	149428998	+	1897	2555	2131	651	1089	646	615	929
MIMAT0000436	hsa-miR-144-3p	miRNA	MIMAT0000436	chr17	28861548	28861567	-	6	19	14	116	12	31	225	135
MIMAT0000437	hsa-miR-145-5p	miRNA	MIMAT0000437	chr5	149430661	149430683	+	1274	1042	774	170	357	594	239	463
MIMAT0000438	hsa-miR-152-3p	miRNA	MIMAT0000438	chr17	48037174	48037194	-	183	123	51	70	114	69	37	72
MIMAT0000439	hsa-miR-153-3p	miRNA	MIMAT0000439	chr2	219294126	219294147	-	0	0	1	0	2	5	0	0
MIMAT0000439_1	hsa-miR-153-3p	miRNA	MIMAT0000439	chr7	157574349	157574370	-	20	31	2	0	8	6	0	0
MIMAT0000440	hsa-miR-191-5p	miRNA	MIMAT0000440	chr3	49020672	49020694	-	27371	26710	9066	3435	13075	14908	2661	4503
MIMAT0000441	hsa-miR-9-5p	miRNA	MIMAT0000441	chr1	156420392	156420414	-	1283	0	0	32	486	425	62	168
MIMAT0000441_1	hsa-miR-9-5p	miRNA	MIMAT0000441	chr15	89368032	89368054	+	1278	3179	831	36	523	427	72	161
MIMAT0000441_2	hsa-miR-9-5p	miRNA	MIMAT0000441	chr5	88666902	88666924	-	1343	0	0	27	524	406	70	169
MIMAT0000442	hsa-miR-9-3p	miRNA	MIMAT0000442	chr1	156420354	156420375	-	2245	71	15	112	1313	1390	122	203
MIMAT0000442_1	hsa-miR-9-3p	miRNA	MIMAT0000442	chr15	89368071	89368092	+	2238	6923	1341	108	1341	1447	128	247
MIMAT0000442_2	hsa-miR-9-3p	miRNA	MIMAT0000442	chr5	88666866	88666887	-	2284	58	9	105	1346	1451	121	233
MIMAT0000443	hsa-miR-125a-5p	miRNA	MIMAT0000443	chr19	51693268	51693291	+	7198	7432	1884	716	2884	2928	504	746
MIMAT0000444	hsa-miR-126-5p	miRNA	MIMAT0000444	chr9	136670616	136670636	+	67	68	312	389	96	187	680	756
MIMAT0000445	hsa-miR-126-3p	miRNA	MIMAT0000445	chr9	136670653	136670674	+	150	214	325	501	149	286	880	893
MIMAT0000446	hsa-miR-127-3p	miRNA	MIMAT0000446	chr14	100883035	100883056	+	6231	5258	2100	685	2213	2256	642	525
MIMAT0000447	hsa-miR-134-5p	miRNA	MIMAT0000447	chr14	101054694	101054715	+	8	2	17	0	0	0	0	6
MIMAT0000448	hsa-miR-136-5p	miRNA	MIMAT0000448	chr14	100884716	100884738	+	11	3	5	0	0	0	0	0
MIMAT0000449	hsa-miR-146a-5p	miRNA	MIMAT0000449	chr5	160485372	160485393	+	887	808	841	382	12	44	60	95
MIMAT0000450	hsa-miR-149-5p	miRNA	MIMAT0000450	chr2	240456015	240456037	+	5254	4039	986	237	2339	3189	305	445
MIMAT0000451	hsa-miR-150-5p	miRNA	MIMAT0000451	chr19	49500832	49500853	-	0	1	10	27	1	0	26	46
MIMAT0000452	hsa-miR-154-5p	miRNA	MIMAT0000452	chr14	101059769	101059790	+	90	43	16	18	5	0	6	0
MIMAT0000453	hsa-miR-154-3p	miRNA	MIMAT0000453	chr14	101059805	101059826	+	55	65	84	28	53	28	0	21
MIMAT0000454	hsa-miR-184	miRNA	MIMAT0000454	chr15	79209840	79209861	+	91	13	10	10	8	40	15	5
MIMAT0000455	hsa-miR-185-5p	miRNA	MIMAT0000455	chr22	20033153	20033174	+	107	120	78	62	74	81	121	160
MIMAT0000456	hsa-miR-186-5p	miRNA	MIMAT0000456	chr1	71067681	71067702	-	252	203	130	61	67	109	21	59
MIMAT0000458	hsa-miR-190a-5p	miRNA	MIMAT0000458	chr15	62823971	62823992	+	0	4	0	0	1	3	0	1
MIMAT0000459	hsa-miR-193a-3p	miRNA	MIMAT0000459	chr17	31560050	31560071	+	13	6	5	0	0	0	0	0
MIMAT0000460_1	hsa-miR-194-5p	miRNA	MIMAT0000460	chr11	64891404	64891425	-	19	18	18	22	11	25	12	11
MIMAT0000461	hsa-miR-195-5p	miRNA	MIMAT0000461	chr17	7017667	7017687	-	19	31	88	18	45	36	18	33
MIMAT0000510	hsa-miR-320a-3p	miRNA	MIMAT0000510	chr8	22244975	22244996	-	1661	1417	425	267	564	817	213	394
MIMAT0000617	hsa-miR-200c-3p	miRNA	MIMAT0000617	chr12	6963742	6963764	+	0	12	0	0	11	12	1	2
MIMAT0000646	hsa-miR-155-5p	miRNA	MIMAT0000646	chr21	25573983	25574006	+	23	20	24	12	0	0	0	8
MIMAT0000680	hsa-miR-106b-5p	miRNA	MIMAT0000680	chr7	100094043	100094063	-	310	191	153	263	140	154	390	359
MIMAT0000681	hsa-miR-29c-3p	miRNA	MIMAT0000681	chr1	207801865	207801886	-	13	9	3	0	5	31	27	7
MIMAT0000683	hsa-miR-302a-5p	miRNA	MIMAT0000683	chr4	112648224	112648246	-	2	0	6	0	0	0	8	0
MIMAT0000684	hsa-miR-302a-3p	miRNA	MIMAT0000684	chr4	112648186	112648208	-	1	0	0	7	0	0	0	0
MIMAT0000686	hsa-miR-34c-5p	miRNA	MIMAT0000686	chr11	111513451	111513473	+	0	0	2	0	0	0	24	0
MIMAT0000687	hsa-miR-299-3p	miRNA	MIMAT0000687	chr14	101023832	101023853	+	7	5	12	0	3	8	1	0
MIMAT0000688	hsa-miR-301a-3p	miRNA	MIMAT0000688	chr17	59151149	59151171	-	143	126	34	27	59	61	56	41
MIMAT0000689	hsa-miR-99b-5p	miRNA	MIMAT0000689	chr19	51692618	51692639	+	4825	4258	1184	423	1992	1595	275	436
MIMAT0000690	hsa-miR-296-5p	miRNA	MIMAT0000690	chr20	58817661	58817681	-	2	1	5	0	0	4	0	0
MIMAT0000691	hsa-miR-130b-3p	miRNA	MIMAT0000691	chr22	21653354	21653375	+	417	355	84	47	118	116	31	51
MIMAT0000692	hsa-miR-30e-5p	miRNA	MIMAT0000692	chr1	40754371	40754392	+	154	169	77	22	64	74	33	49
MIMAT0000693	hsa-miR-30e-3p	miRNA	MIMAT0000693	chr1	40754413	40754434	+	212	176	28	21	60	94	31	38
MIMAT0000703	hsa-miR-361-5p	miRNA	MIMAT0000703	chrX	85903681	85903702	-	879	1136	409	151	670	489	122	265
MIMAT0000705	hsa-miR-362-5p	miRNA	MIMAT0000705	chrX	50008968	50008991	+	109	77	12	15	34	48	23	7
MIMAT0000707	hsa-miR-363-3p	miRNA	MIMAT0000707	chrX	134169382	134169403	-	1803	1053	298	145	614	698	200	272
MIMAT0000710	hsa-miR-365a-3p	miRNA	MIMAT0000710	chr16	14309340	14309361	+	358	0	0	51	87	0	32	36
MIMAT0000720	hsa-miR-376c-3p	miRNA	MIMAT0000720	chr14	101039732	101039752	+	2843	2501	1762	523	1412	1630	376	694
MIMAT0000721	hsa-miR-369-3p	miRNA	MIMAT0000721	chr14	101065641	101065661	+	134	128	65	24	52	150	27	27
MIMAT0000722	hsa-miR-370-3p	miRNA	MIMAT0000722	chr14	100911186	100911207	+	218	139	53	29	97	151	18	36
MIMAT0000727	hsa-miR-374a-5p	miRNA	MIMAT0000727	chrX	74287325	74287346	-	25	19	6	13	1	40	14	5
MIMAT0000728	hsa-miR-375-3p	miRNA	MIMAT0000728	chr2	219001648	219001669	-	11	5	9	15	15	0	29	0
MIMAT0000729	hsa-miR-376a-3p	miRNA	MIMAT0000729	chr14	101040118	101040138	+	290	255	195	58	102	226	63	32
MIMAT0000729_1	hsa-miR-376a-3p	miRNA	MIMAT0000729	chr14	101040825	101040845	+	44	0	0	43	0	0	0	35
MIMAT0000730	hsa-miR-377-3p	miRNA	MIMAT0000730	chr14	101062094	101062115	+	28	20	19	3	5	6	6	1
MIMAT0000732	hsa-miR-378a-3p	miRNA	MIMAT0000732	chr5	149732867	149732888	+	54	0	6	10	11	21	25	32
MIMAT0000733	hsa-miR-379-5p	miRNA	MIMAT0000733	chr14	101022071	101022091	+	22	42	11	4	25	10	0	0
MIMAT0000735	hsa-miR-380-3p	miRNA	MIMAT0000735	chr14	101025056	101025077	+	70	36	13	0	42	35	2	4
MIMAT0000736	hsa-miR-381-3p	miRNA	MIMAT0000736	chr14	101045968	101045989	+	27	32	26	11	26	18	0	23
MIMAT0000737	hsa-miR-382-5p	miRNA	MIMAT0000737	chr14	101054316	101054337	+	608	536	171	37	177	333	53	68
MIMAT0000750	hsa-miR-340-3p	miRNA	MIMAT0000750	chr5	180015319	180015340	-	51	42	24	2	4	14	0	6
MIMAT0000751	hsa-miR-330-3p	miRNA	MIMAT0000751	chr19	45639009	45639031	-	29	36	7	7	52	71	13	22
MIMAT0000752	hsa-miR-328-3p	miRNA	MIMAT0000752	chr16	67202327	67202348	-	29	21	20	0	7	10	0	0
MIMAT0000753	hsa-miR-342-3p	miRNA	MIMAT0000753	chr14	100109715	100109737	+	2437	2245	485	166	1325	1729	219	255
MIMAT0000754	hsa-miR-337-3p	miRNA	MIMAT0000754	chr14	100874553	100874574	+	87	86	50	0	49	16	23	28
MIMAT0000755	hsa-miR-323a-3p	miRNA	MIMAT0000755	chr14	101025782	101025802	+	1059	1060	456	118	537	586	131	175
MIMAT0000756	hsa-miR-326	miRNA	MIMAT0000756	chr11	75335108	75335127	-	16	0	0	0	0	0	0	8
MIMAT0000757	hsa-miR-151a-3p	miRNA	MIMAT0000757	chr8	140732587	140732607	-	1160	1137	451	185	524	497	150	303
MIMAT0000758	hsa-miR-135b-5p	miRNA	MIMAT0000758	chr1	205448361	205448383	-	18	0	21	0	0	0	0	0
MIMAT0000759	hsa-miR-148b-3p	miRNA	MIMAT0000759	chr12	54337278	54337299	+	149	140	49	78	60	101	128	102
MIMAT0000760	hsa-miR-331-3p	miRNA	MIMAT0000760	chr12	95308480	95308500	+	115	67	50	0	26	19	20	16
MIMAT0000761	hsa-miR-324-5p	miRNA	MIMAT0000761	chr17	7223343	7223364	-	529	484	105	54	178	339	64	80
MIMAT0000762	hsa-miR-324-3p	miRNA	MIMAT0000762	chr17	7223308	7223330	-	24	15	1	0	5	24	0	6
MIMAT0000763	hsa-miR-338-3p	miRNA	MIMAT0000763	chr17	81125887	81125908	-	34	28	164	56	119	139	36	255
MIMAT0000764	hsa-miR-339-5p	miRNA	MIMAT0000764	chr7	1022990	1023012	-	41	10	5	10	17	8	3	0
MIMAT0000765	hsa-miR-335-5p	miRNA	MIMAT0000765	chr7	130496126	130496148	+	8261	6405	3786	1460	3193	3615	1654	2807
MIMAT0000772	hsa-miR-345-5p	miRNA	MIMAT0000772	chr14	100307876	100307897	+	143	50	28	21	38	69	14	0
MIMAT0000773	hsa-miR-346	miRNA	MIMAT0000773	chr10	86264747	86264769	-	3	3	0	0	0	0	0	0
MIMAT0001080	hsa-miR-196b-5p	miRNA	MIMAT0001080	chr7	27169528	27169549	-	0	0	0	13	0	0	0	7
MIMAT0001340	hsa-miR-423-3p	miRNA	MIMAT0001340	chr17	30117131	30117153	+	102	49	13	9	16	32	12	4
MIMAT0001341	hsa-miR-424-5p	miRNA	MIMAT0001341	chrX	134546680	134546701	-	1852	1327	1283	424	1041	628	497	550
MIMAT0001343	hsa-miR-425-3p	miRNA	MIMAT0001343	chr3	49020159	49020180	-	213	154	52	7	79	47	37	61
MIMAT0001412	hsa-miR-18b-5p	miRNA	MIMAT0001412	chrX	134170084	134170106	-	38	15	4	0	0	9	6	0
